time(s)	cellId	rnti	lcid	packetSize
0.403738	2	1	3	1030
0.403744	2	1	3	1030
0.40375	2	1	3	1030
0.403756	2	1	3	1030
0.403762	2	1	3	1030
0.403768	2	1	3	1030
0.403774	2	1	3	1030
0.40378	2	1	3	1030
0.403786	2	1	3	1030
0.403792	2	1	3	1030
0.403798	2	1	3	1030
0.403804	2	1	3	1030
0.40381	2	1	3	1030
0.403816	2	1	3	1030
0.403822	2	1	3	1030
0.403828	2	1	3	1030
0.403834	2	1	3	1030
0.40384	2	1	3	1030
0.403846	2	1	3	1030
0.403852	2	1	3	1030
0.403858	2	1	3	1030
0.403864	2	1	3	1030
0.40387	2	1	3	1030
0.403876	2	1	3	1030
0.403882	2	1	3	1030
0.403888	2	1	3	1030
0.403894	2	1	3	1030
0.4039	2	1	3	1030
0.403906	2	1	3	1030
0.403912	2	1	3	1030
0.403918	2	1	3	1030
0.403924	2	1	3	1030
0.40393	2	1	3	1030
0.403936	2	1	3	1030
0.403942	2	1	3	1030
0.403948	2	1	3	1030
0.403954	2	1	3	1030
0.40396	2	1	3	1030
0.403966	2	1	3	1030
0.403972	2	1	3	1030
0.403978	2	1	3	1030
0.403984	2	1	3	1030
0.40399	2	1	3	1030
0.403996	2	1	3	1030
0.404002	2	1	3	1030
0.404008	2	1	3	1030
0.404014	2	1	3	1030
0.40402	2	1	3	1030
0.404026	2	1	3	1030
0.404032	2	1	3	1030
0.404038	2	1	3	1030
0.404044	2	1	3	1030
0.40405	2	1	3	1030
0.404056	2	1	3	1030
0.404062	2	1	3	1030
0.404068	2	1	3	1030
0.404074	2	1	3	1030
0.40408	2	1	3	1030
0.404086	2	1	3	1030
0.404092	2	1	3	1030
0.404098	2	1	3	1030
0.404104	2	1	3	1030
0.40411	2	1	3	1030
0.404116	2	1	3	1030
0.404122	2	1	3	1030
0.404128	2	1	3	1030
0.404134	2	1	3	1030
0.40414	2	1	3	1030
0.404146	2	1	3	1030
0.404152	2	1	3	1030
0.404158	2	1	3	1030
0.404164	2	1	3	1030
0.40417	2	1	3	1030
0.404176	2	1	3	1030
0.404182	2	1	3	1030
0.404188	2	1	3	1030
0.404194	2	1	3	1030
0.4042	2	1	3	1030
0.404206	2	1	3	1030
0.404212	2	1	3	1030
0.404218	2	1	3	1030
0.404224	2	1	3	1030
0.40423	2	1	3	1030
0.404236	2	1	3	1030
0.404242	2	1	3	1030
0.404248	2	1	3	1030
0.404254	2	1	3	1030
0.40426	2	1	3	1030
0.404266	2	1	3	1030
0.404272	2	1	3	1030
0.404278	2	1	3	1030
0.404284	2	1	3	1030
0.40429	2	1	3	1030
0.404296	2	1	3	1030
0.404302	2	1	3	1030
0.404308	2	1	3	1030
0.404314	2	1	3	1030
0.40432	2	1	3	1030
0.404326	2	1	3	1030
0.404332	2	1	3	1030
0.404338	2	1	3	1030
0.404344	2	1	3	1030
0.40435	2	1	3	1030
0.404356	2	1	3	1030
0.404362	2	1	3	1030
0.404368	2	1	3	1030
0.404374	2	1	3	1030
0.40438	2	1	3	1030
0.404386	2	1	3	1030
0.404392	2	1	3	1030
0.404398	2	1	3	1030
0.404404	2	1	3	1030
0.40441	2	1	3	1030
0.404416	2	1	3	1030
0.404422	2	1	3	1030
0.404428	2	1	3	1030
0.404434	2	1	3	1030
0.40444	2	1	3	1030
0.404446	2	1	3	1030
0.404452	2	1	3	1030
0.404458	2	1	3	1030
0.404464	2	1	3	1030
0.40447	2	1	3	1030
0.404476	2	1	3	1030
0.404482	2	1	3	1030
0.404488	2	1	3	1030
0.404494	2	1	3	1030
0.4045	2	1	3	1030
0.404506	2	1	3	1030
0.404512	2	1	3	1030
0.404518	2	1	3	1030
0.404524	2	1	3	1030
0.40453	2	1	3	1030
0.404536	2	1	3	1030
0.404542	2	1	3	1030
0.404548	2	1	3	1030
0.404554	2	1	3	1030
0.40456	2	1	3	1030
0.404566	2	1	3	1030
0.404572	2	1	3	1030
0.404578	2	1	3	1030
0.404584	2	1	3	1030
0.40459	2	1	3	1030
0.404596	2	1	3	1030
0.404602	2	1	3	1030
0.404608	2	1	3	1030
0.404614	2	1	3	1030
0.40462	2	1	3	1030
0.404626	2	1	3	1030
0.404632	2	1	3	1030
0.404638	2	1	3	1030
0.404644	2	1	3	1030
0.40465	2	1	3	1030
0.404656	2	1	3	1030
0.404662	2	1	3	1030
0.404668	2	1	3	1030
0.404674	2	1	3	1030
0.40468	2	1	3	1030
0.404686	2	1	3	1030
0.404692	2	1	3	1030
0.404698	2	1	3	1030
0.404704	2	1	3	1030
0.40471	2	1	3	1030
0.404716	2	1	3	1030
0.404722	2	1	3	1030
0.404728	2	1	3	1030
0.404734	2	1	3	1030
0.40474	2	1	3	1030
0.404746	2	1	3	1030
0.404752	2	1	3	1030
0.404758	2	1	3	1030
0.404764	2	1	3	1030
0.40477	2	1	3	1030
0.404776	2	1	3	1030
0.404782	2	1	3	1030
0.404788	2	1	3	1030
0.404794	2	1	3	1030
0.4048	2	1	3	1030
0.404806	2	1	3	1030
0.404812	2	1	3	1030
0.404818	2	1	3	1030
0.404824	2	1	3	1030
0.40483	2	1	3	1030
0.404836	2	1	3	1030
0.404842	2	1	3	1030
0.404848	2	1	3	1030
0.404854	2	1	3	1030
0.40486	2	1	3	1030
0.404866	2	1	3	1030
0.404872	2	1	3	1030
0.404878	2	1	3	1030
0.404884	2	1	3	1030
0.40489	2	1	3	1030
0.404896	2	1	3	1030
0.404902	2	1	3	1030
0.404908	2	1	3	1030
0.404914	2	1	3	1030
0.40492	2	1	3	1030
0.404926	2	1	3	1030
0.404932	2	1	3	1030
0.404938	2	1	3	1030
0.404944	2	1	3	1030
0.40495	2	1	3	1030
0.404956	2	1	3	1030
0.404962	2	1	3	1030
0.404968	2	1	3	1030
0.404974	2	1	3	1030
0.40498	2	1	3	1030
0.404986	2	1	3	1030
0.404992	2	1	3	1030
0.404998	2	1	3	1030
0.405004	2	1	3	1030
0.40501	2	1	3	1030
0.405016	2	1	3	1030
0.405022	2	1	3	1030
0.405028	2	1	3	1030
0.405034	2	1	3	1030
0.40504	2	1	3	1030
0.405046	2	1	3	1030
0.405052	2	1	3	1030
0.405058	2	1	3	1030
0.405064	2	1	3	1030
0.40507	2	1	3	1030
0.405076	2	1	3	1030
0.405082	2	1	3	1030
0.405088	2	1	3	1030
0.405094	2	1	3	1030
0.4051	2	1	3	1030
0.405106	2	1	3	1030
0.405112	2	1	3	1030
0.405118	2	1	3	1030
0.405124	2	1	3	1030
0.40513	2	1	3	1030
0.405136	2	1	3	1030
0.405142	2	1	3	1030
0.405148	2	1	3	1030
0.405154	2	1	3	1030
0.40516	2	1	3	1030
0.405166	2	1	3	1030
0.405172	2	1	3	1030
0.405178	2	1	3	1030
0.405184	2	1	3	1030
0.40519	2	1	3	1030
0.405196	2	1	3	1030
0.405202	2	1	3	1030
0.405208	2	1	3	1030
0.405214	2	1	3	1030
0.40522	2	1	3	1030
0.405226	2	1	3	1030
0.405232	2	1	3	1030
0.405238	2	1	3	1030
0.405244	2	1	3	1030
0.40525	2	1	3	1030
0.405256	2	1	3	1030
0.405262	2	1	3	1030
0.405268	2	1	3	1030
0.405274	2	1	3	1030
0.40528	2	1	3	1030
0.405286	2	1	3	1030
0.405292	2	1	3	1030
0.405298	2	1	3	1030
0.405304	2	1	3	1030
0.40531	2	1	3	1030
0.405316	2	1	3	1030
0.405322	2	1	3	1030
0.405328	2	1	3	1030
0.405334	2	1	3	1030
0.40534	2	1	3	1030
0.405346	2	1	3	1030
0.405352	2	1	3	1030
0.405358	2	1	3	1030
0.405364	2	1	3	1030
0.40537	2	1	3	1030
0.405376	2	1	3	1030
0.405382	2	1	3	1030
0.405388	2	1	3	1030
0.405394	2	1	3	1030
